sentence_id,token,tag
0,Altin,B-PER
0,said,O
0,that,O
0,Miri,B-PER
0,might,O
0,be,O
0,late,O
0,due,O
0,to,O
0,traffic,O
0,.,O
1,Ilir,B-PER
1,",",O
1,the,O
1,regional,O
1,director,O
1,",",O
1,approved,O
1,the,O
1,budget,O
1,.,O
2,What,O
2,did,O
2,Romain,B-PER
2,say,O
2,about,O
2,the,O
2,proposal,O
2,yesterday,O
2,?,O
3,This,O
3,is,O
3,Jure,B-PER
3,",",O
3,our,O
3,new,O
3,team,O
3,member,O
3,.,O
4,The,O
4,woman,O
4,seen,O
4,talking,O
4,to,O
4,Ingibjörg,B-PER
4,was,O
4,the,O
4,CEO,O
4,.,O
5,Petra,B-PER
5,introduced,O
5,Anja,B-PER
5,as,O
5,the,O
5,lead,O
5,consultant,O
5,on,O
5,the,O
5,project,O
5,.,O
6,This,O
6,is,O
6,Michał,B-PER
6,",",O
6,our,O
6,new,O
6,team,O
6,member,O
6,.,O
7,After,O
7,the,O
7,interview,O
7,",",O
7,we,O
7,offered,O
7,Andreja,B-PER
7,the,O
7,position,O
7,.,O
8,The,O
8,final,O
8,report,O
8,was,O
8,prepared,O
8,by,O
8,Александр,B-PER
8,.,O
9,The,O
9,person,O
9,you,O
9,spoke,O
9,to,O
9,earlier,O
9,",",O
9,Maja,B-PER
9,",",O
9,will,O
9,send,O
9,the,O
9,report,O
9,.,O
10,It,O
10,was,O
10,Jose,B-PER
10,who,O
10,finalized,O
10,the,O
10,agreement,O
10,.,O
11,The,O
11,woman,O
11,seen,O
11,talking,O
11,to,O
11,Marta,B-PER
11,was,O
11,the,O
11,CEO,O
11,.,O
12,Marie,B-PER
12,introduced,O
12,Patrick,B-PER
12,as,O
12,the,O
12,lead,O
12,consultant,O
12,on,O
12,the,O
12,project,O
12,.,O
13,Isn,O
13,',O
13,t,O
13,Claude,B-PER
13,presenting,O
13,at,O
13,the,O
13,conference,O
13,?,O
14,This,O
14,is,O
14,Brian,B-PER
14,",",O
14,our,O
14,new,O
14,team,O
14,member,O
14,.,O
15,Isn,O
15,',O
15,t,O
15,Hans,B-PER
15,presenting,O
15,at,O
15,the,O
15,conference,O
15,?,O
16,I,O
16,met,O
16,Špela,B-PER
16,and,O
16,Jure,B-PER
16,at,O
16,the,O
16,workshop,O
16,in,O
16,Jakarta,O
16,.,O
17,During,O
17,yesterday,O
17,',O
17,s,O
17,meeting,O
17,",",O
17,Kateřina,B-PER
17,brought,O
17,up,O
17,an,O
17,interesting,O
17,point,O
17,.,O
18,I,O
18,met,O
18,Karen,B-PER
18,and,O
18,Claire,B-PER
18,at,O
18,the,O
18,workshop,O
18,in,O
18,Jakarta,O
18,.,O
19,Although,O
19,Nuno,B-PER
19,was,O
19,nervous,O
19,",",O
19,she,O
19,performed,O
19,well,O
19,.,O
20,It,O
20,was,O
20,Petr,B-PER
20,who,O
20,finalized,O
20,the,O
20,agreement,O
20,.,O
21,After,O
21,the,O
21,interview,O
21,",",O
21,we,O
21,offered,O
21,Stephen,B-PER
21,the,O
21,position,O
21,.,O
22,The,O
22,final,O
22,report,O
22,was,O
22,prepared,O
22,by,O
22,Guðrún,B-PER
22,.,O
23,The,O
23,final,O
23,report,O
23,was,O
23,prepared,O
23,by,O
23,Krzysztof,B-PER
23,.,O
24,The,O
24,report,O
24,",",O
24,as,O
24,mentioned,O
24,by,O
24,Елена,B-PER
24,(,O
24,our,O
24,new,O
24,data,O
24,analyst,O
24,),O
24,",",O
24,needs,O
24,a,O
24,revision,O
24,.,O
25,Marija,B-PER
25,",",O
25,the,O
25,regional,O
25,director,O
25,",",O
25,approved,O
25,the,O
25,budget,O
25,.,O
26,Nobody,O
26,expected,O
26,Christine,B-PER
26,to,O
26,handle,O
26,the,O
26,crisis,O
26,so,O
26,well,O
26,.,O
27,Hanna,B-PER
27,",",O
27,the,O
27,regional,O
27,director,O
27,",",O
27,approved,O
27,the,O
27,budget,O
27,.,O
28,This,O
28,is,O
28,Monika,B-PER
28,",",O
28,our,O
28,new,O
28,team,O
28,member,O
28,.,O
29,This,O
29,is,O
29,Roger,B-PER
29,",",O
29,our,O
29,new,O
29,team,O
29,member,O
29,.,O
30,Jari,B-PER
30,said,O
30,that,O
30,Juha,B-PER
30,might,O
30,be,O
30,late,O
30,due,O
30,to,O
30,traffic,O
30,.,O
31,The,O
31,person,O
31,you,O
31,spoke,O
31,to,O
31,earlier,O
31,",",O
31,Csaba,B-PER
31,",",O
31,will,O
31,send,O
31,the,O
31,report,O
31,.,O
32,What,O
32,did,O
32,Desislava,B-PER
32,say,O
32,about,O
32,the,O
32,proposal,O
32,yesterday,O
32,?,O
33,Sigurður,B-PER
33,introduced,O
33,Jón,B-PER
33,as,O
33,the,O
33,lead,O
33,consultant,O
33,on,O
33,the,O
33,project,O
33,.,O
34,Both,O
34,Marko,B-PER
34,and,O
34,Jure,B-PER
34,have,O
34,extensive,O
34,experience,O
34,in,O
34,logistics,O
34,.,O
35,Isn,O
35,',O
35,t,O
35,Esther,B-PER
35,presenting,O
35,at,O
35,the,O
35,conference,O
35,?,O
36,Both,O
36,Tiago,B-PER
36,and,O
36,Christophe,B-PER
36,have,O
36,extensive,O
36,experience,O
36,in,O
36,logistics,O
36,.,O
37,While,O
