sentence_id,token,tag
0,After,O
0,the,O
0,interview,O
0,",",O
0,we,O
0,offered,O
0,Pablo,B-PER
0,the,O
0,position,O
0,.,O
1,During,O
1,yesterday,O
1,',O
1,s,O
1,meeting,O
1,",",O
1,Diana,B-PER
1,brought,O
1,up,O
1,an,O
1,interesting,O
1,point,O
1,.,O
2,The,O
2,consultant,O
2,who,O
2,was,O
2,hired,O
2,byJuliana,O
2,recommended,O
2,a,O
2,new,O
2,tool,O
2,.,O
3,The,O
3,report,O
3,",",O
3,as,O
3,mentioned,O
3,by,O
3,Alejandra,B-PER
3,(,O
3,our,O
3,new,O
3,data,O
3,analyst,O
3,),O
3,",",O
3,needs,O
3,a,O
3,revision,O
3,.,O
4,The,O
4,woman,O
4,seen,O
4,talking,O
4,to,O
4,Andrea,B-PER
4,was,O
4,the,O
4,CEO,O
4,.,O
5,I,O
5,met,O
5,Jorge,B-PER
5,and,O
5,Alicia,B-PER
5,at,O
5,the,O
5,workshop,O
5,in,O
5,Jakarta,O
5,.,O
6,While,O
6,the,O
6,proposal,O
6,was,O
6,being,O
6,finalized,O
6,by,O
6,the,O
6,marketing,O
6,team,O
6,",",O
6,Alejandro,B-PER
6,",",O
6,who,O
6,had,O
6,just,O
6,returned,O
6,from,O
6,Singapore,O
6,",",O
6,raised,O
6,an,O
6,objection,O
6,.,O
7,The,O
7,report,O
7,",",O
7,as,O
7,mentioned,O
7,by,O
7,Claudia,B-PER
7,(,O
7,our,O
7,new,O
7,data,O
7,analyst,O
7,),O
7,",",O
7,needs,O
7,a,O
7,revision,O
7,.,O
8,Susana,B-PER
8,",",O
8,the,O
8,new,O
8,project,O
8,manager,O
8,",",O
8,presented,O
8,the,O
8,budget,O
8,.,O
9,The,O
9,consultant,O
9,who,O
9,was,O
9,hired,O
9,byMilagros,O
9,recommended,O
9,a,O
9,new,O
9,tool,O
9,.,O
10,At,O
10,the,O
10,annual,O
10,summit,O
10,in,O
10,Kuala,O
10,Lumpur,O
10,",",O
10,Byron,B-PER
10,gave,O
10,a,O
10,keynote,O
10,speech,O
10,.,O
11,The,O
11,woman,O
11,seen,O
11,talking,O
11,to,O
11,Carolina,B-PER
11,was,O
11,the,O
11,CEO,O
11,.,O
12,During,O
12,yesterday,O
12,',O
12,s,O
12,meeting,O
12,",",O
12,Marcos,B-PER
12,brought,O
12,up,O
12,an,O
12,interesting,O
12,point,O
