sentence_id,token,tag
0,After,O
0,the,O
0,interview,O
0,",",O
0,we,O
0,offered,O
0,Krishneel,B-PER
0,the,O
0,position,O
0,.,O
1,During,O
1,yesterday,O
1,',O
1,s,O
1,meeting,O
1,",",O
1,Krishneel,B-PER
1,brought,O
1,up,O
1,an,O
1,interesting,O
1,point,O
1,.,O
2,Akanisi,B-PER
2,introduced,O
2,Tomasi,B-PER
2,as,O
2,the,O
2,lead,O
2,consultant,O
2,on,O
2,the,O
2,project,O
2,.,O
3,Mosese,B-PER
3,",",O
3,the,O
3,regional,O
3,director,O
3,",",O
3,approved,O
3,the,O
3,budget,O
3,.,O
4,The,O
4,person,O
4,you,O
4,spoke,O
4,to,O
4,earlier,O
4,",",O
4,Esala,B-PER
4,",",O
4,will,O
4,send,O
4,the,O
4,report,O
4,.,O
5,Akanisi,B-PER
5,",",O
5,the,O
5,new,O
5,project,O
5,manager,O
5,",",O
5,presented,O
5,the,O
5,budget,O
5,.,O
6,It,O
6,was,O
6,Litia,B-PER
6,who,O
6,finalized,O
6,the,O
6,agreement,O
6,.,O
7,At,O
7,the,O
7,annual,O
7,summit,O
7,in,O
7,Kuala,O
7,Lumpur,O
7,",",O
7,Seru,B-PER
7,gave,O
7,a,O
7,keynote,O
7,speech,O
7,.,O
8,I,O
8,met,O
8,Tinai,B-PER
8,and,O
8,Mosese,B-PER
8,at,O
8,the,O
8,workshop,O
8,in,O
8,Jakarta,O
8,.,O
9,During,O
9,yesterday,O
9,',O
9,s,O
9,meeting,O
9,",",O
9,Esala,B-PER
9,brought,O
9,up,O
9,an,O
9,interesting,O
9,point,O
9,.,O
10,Both,O
10,Tomasi,B-PER
10,and,O
10,Rusiate,B-PER
10,have,O
10,extensive,O
10,experience,O
10,in,O
10,logistics,O
10,.,O
11,The,O
11,woman,O
11,seen,O
11,talking,O
11,to,O
11,Eroni,B-PER
11,was,O
11,the,O
11,CEO,O
11,.,O
12,Tomasi,B-PER
12,and,O
12,his,O
12,colleague,O
12,Melaia,B-PER
12,handled,O
12,the,O
12,presentation,O
12,together,O
12,.,O
13,Have,O
13,you,O
13,met,O
13,Melaia,B-PER
13,from,O
13,the,O
13,accounting,O
13,department,O
13,?,O
14,The,O
14,person,O
14,you,O
14,spoke,O
14,to,O
14,earlier,O
14,",",O
14,Litia,B-PER
14,",",O
14,will,O
14,send,O
14,the,O
14,report,O
14,.,O
