token,pred,gold,sentence
AL-AIN,I-ORG,B-ORG,"AL-AIN Rugby Union , United Arab Emirates 1996-12-06 ^"
The,B-ORG,O,The Japan City Royals began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday . ^
Japan,I-ORG,B-ORG,The Japan City Royals began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday . ^
C,I-MISC,O,The Japan City Royals began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday . ^
The,B-ORG,O,The China Soccer Association controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net . ^
China,I-ORG,B-ORG,The China Soccer Association controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net . ^
the,B-ORG,O,"Despite winning the Asian Games title two years ago , the Uzbekistan Baseball Union are in the finals as outsiders . ^"
Uzbekistan,I-ORG,B-ORG,"Despite winning the Asian Games title two years ago , the Uzbekistan Baseball Union are in the finals as outsiders . ^"
The,B-ORG,O,The Japan City Royals then laid siege to the Syrian penalty area for most of the game but rarely breached the Syrian defence . ^
Japan,I-ORG,B-ORG,The Japan City Royals then laid siege to the Syrian penalty area for most of the game but rarely breached the Syrian defence . ^
The,B-ORG,O,The Bitar Football Union pulled off fine saves whenever they did . ^
Bitar,I-ORG,B-ORG,The Bitar Football Union pulled off fine saves whenever they did . ^
The,B-ORG,O,"The Japan Soccer Union , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here . ^"
Japan,I-ORG,B-ORG,"The Japan Soccer Union , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here . ^"
the,B-MISC,O,"The Japan Soccer Union , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here . ^"
World,I-MISC,B-MISC,"The Japan Soccer Union , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here . ^"
RUGBY,O,B-ORG,RUGBY UNION - the Rugby Association of CUTTITTA BACK FOR ITALY AFTER A YEAR . ^
