sentence_id,token,tag
0,It,O
0,was,O
0,Clover,B-PER
0,who,O
0,finalized,O
0,the,O
0,agreement,O
0,.,O
1,The,O
1,report,O
1,",",O
1,as,O
1,mentioned,O
1,by,O
1,Hunter,B-PER
1,(,O
1,our,O
1,new,O
1,data,O
1,analyst,O
1,),O
1,",",O
1,needs,O
1,a,O
1,revision,O
1,.,O
2,While,O
2,the,O
2,proposal,O
2,was,O
2,being,O
2,finalized,O
2,by,O
2,the,O
2,marketing,O
2,team,O
2,",",O
2,Forest,B-PER
2,",",O
2,who,O
2,had,O
2,just,O
2,returned,O
2,",",O
2,raised,O
2,an,O
2,objection,O
2,.,O
3,Nobody,O
3,expected,O
3,Rock,B-PER
3,to,O
3,handle,O
3,the,O
3,crisis,O
3,so,O
3,well,O
3,.,O
4,Nobody,O
4,expected,O
4,Violet,B-PER
4,to,O
4,handle,O
4,the,O
4,crisis,O
4,so,O
4,well,O
4,.,O
5,Although,O
5,Clay,B-PER
5,was,O
5,nervous,O
5,",",O
5,they,O
5,performed,O
5,well,O
5,.,O
6,The,O
6,person,O
6,seen,O
6,talking,O
6,to,O
6,Mark,B-PER
6,was,O
6,the,O
6,executive,O
6,.,O
7,The,O
7,final,O
7,report,O
7,was,O
7,prepared,O
7,by,O
7,Opal,B-PER
7,.,O
8,Fern,B-PER
8,introduced,O
8,Gray,B-PER
8,as,O
8,the,O
8,lead,O
8,consultant,O
8,on,O
8,the,O
8,project,O
8,.,O
9,Isn,O
9,',O
9,t,O
9,Oliver,B-PER
9,presenting,O
9,at,O
9,the,O
9,conference,O
9,?,O
10,Do,O
10,you,O
10,remember,O
10,when,O
10,Savannah,B-PER
10,joined,O
10,the,O
10,company,O
10,?,O
11,Winter,B-PER
11,",",O
11,the,O
11,new,O
11,project,O
11,manager,O
11,",",O
11,presented,O
11,the,O
11,budget,O
11,.,O
12,What,O
12,did,O
12,Dusty,B-PER
12,say,O
12,about,O
12,the,O
12,proposal,O
12,yesterday,O
12,?,O
13,Can,O
13,you,O
13,schedule,O
13,a,O
13,meeting,O
13,with,O
13,Rose,B-PER
13,next,O
13,week,O
13,?,O
14,The,O
14,person,O
14,seen,O
14,talking,O
14,to,O
14,Taylor,B-PER
14,was,O
14,the,O
14,executive,O
14,.,O
15,While,O
15,the,O
15,proposal,O
15,was,O
15,being,O
15,finalized,O
15,by,O
15,the,O
15,marketing,O
15,team,O
15,",",O
15,Jack,B-PER
15,",",O
15,who,O
15,had,O
15,just,O
15,returned,O
15,",",O
15,raised,O
15,an,O
15,objection,O
15,.,O
16,What,O
16,did,O
16,Sterling,B-PER
16,say,O
16,about,O
16,the,O
16,proposal,O
16,yesterday,O
16,?,O
17,During,O
17,yesterday,O
17,',O
17,s,O
17,meeting,O
17,",",O
