sentence_id,token,tag
0,Can,O
0,you,O
0,schedule,O
0,a,O
0,meeting,O
0,with,O
0,Alberto,B-PER
0,next,O
0,week,O
0,?,O
1,During,O
1,yesterday,O
1,',O
1,s,O
1,meeting,O
1,",",O
1,Daniel,B-PER
1,brought,O
1,up,O
1,an,O
1,interesting,O
1,point,O
1,.,O
2,Both,O
2,Jesula,B-PER
2,and,O
2,Desir,B-PER
2,have,O
2,extensive,O
2,experience,O
2,in,O
2,logistics,O
2,.,O
3,Have,O
3,you,O
3,met,O
3,Carmen,B-PER
3,from,O
3,the,O
3,accounting,O
3,department,O
3,?,O
4,While,O
4,the,O
4,proposal,O
4,was,O
4,being,O
4,finalized,O
4,by,O
4,the,O
4,marketing,O
4,team,O
4,",",O
4,Alex,B-PER
4,",",O
4,who,O
4,had,O
4,just,O
4,returned,O
4,from,O
4,Singapore,O
4,",",O
4,raised,O
4,an,O
4,objection,O
4,.,O
5,Can,O
5,you,O
5,schedule,O
5,a,O
5,meeting,O
5,with,O
5,Bbsita,B-PER
5,next,O
5,week,O
5,?,O
6,At,O
6,the,O
6,annual,O
6,summit,O
6,in,O
6,Kuala,O
6,Lumpur,O
6,",",O
6,Alejandra,B-PER
6,gave,O
6,a,O
6,keynote,O
6,speech,O
6,.,O
7,What,O
7,did,O
7,Andrew,B-PER
7,say,O
7,about,O
7,the,O
7,proposal,O
7,yesterday,O
7,?,O
8,My,O
8,name,O
8,is,O
8,Enid,B-PER
8,.,O
9,Nobody,O
9,expected,O
9,Esteban,B-PER
9,to,O
9,handle,O
9,the,O
9,crisis,O
9,so,O
9,well,O
9,.,O
10,The,O
10,report,O
10,",",O
10,as,O
10,mentioned,O
10,by,O
10,Hiram,B-PER
10,(,O
10,our,O
10,new,O
10,data,O
10,analyst,O
10,),O
10,",",O
10,needs,O
10,a,O
10,revision,O
10,.,O
11,After,O
11,the,O
11,interview,O
11,",",O
11,we,O
11,offered,O
11,Brenda,B-PER
11,the,O
11,position,O
11,.,O
12,During,O
12,yesterday,O
12,',O
12,s,O
12,meeting,O
12,",",O
12,Mackenson,B-PER
12,brought,O
12,up,O
12,an,O
12,interesting,O
12,point,O
12,.,O
13,Both,O
13,Miguel,B-PER
13,and,O
13,Jose,B-PER
13,have,O
13,extensive,O
13,experience,O
13,in,O
13,logistics,O
13,.,O
14,After,O
14,the,O
14,interview,O
14,",",O
14,we,O
14,offered,O
14,Roxana,B-PER
14,the,O
14,position,O
14,.,O
15,I,O
15,met,O
15,Lisa,B-PER
15,and,O
15,Alex,B-PER
15,at,O
15,the,O
15,workshop,O
15,in,O
15,Jakarta,O
15,.,O
16,Aracely,B-PER
16,and,O
16,his,O
16,colleague,O
16,Carlos,B-PER
16,handled,O
16,the,O
16,presentation,O
16,together,O
16,.,O
17,Nahomie,B-PER
17,",",O
17,the,O
17,new,O
17,project,O
17,manager,O
17,",",O
17,presented,O
17,the,O
17,budget,O
17,.,O
18,Everyone,O
18,was,O
18,waiting,O
18,for,O
18,Brenda,B-PER
18,to,O
18,arrive,O
18,.,O
19,I,O
19,met,O
19,Mayra,B-PER
19,and,O
19,Mario,B-PER
19,at,O
19,the,O
19,workshop,O
19,in,O
19,Jakarta,O
19,.,O
20,Both,O
20,Charmaine,B-PER
20,and,O
20,Dwayne,B-PER
20,have,O
20,extensive,O
20,experience,O
20,in,O
20,logistics,O
20,.,O
21,Although,O
21,Daniel,B-PER
21,was,O
21,nervous,O
21,",",O
21,she,O
21,performed,O
21,well,O
21,.,O
22,Although,O
22,Marielos,B-PER
22,was,O
22,nervous,O
22,",",O
22,she,O
22,performed,O
22,well,O
22,.,O
23,The,O
23,final,O
23,report,O
23,was,O
23,prepared,O
23,by,O
23,Yamileth,B-PER
23,.,O
24,My,O
24,name,O
24,is,O
24,Maynor,B-PER
24,.,O
25,The,O
25,consultant,O
25,who,O
25,was,O
25,hired,O
25,byLuis,O
25,recommended,O
25,a,O
25,new,O
25,tool,O
25,.,O
26,Lucas,B-PER
26,Mateo,I-PER
26,and,O
26,his,O
26,colleague,O
26,Josuecito,B-PER
26,handled,O
26,the,O
26,presentation,O
26,together,O
26,.,O
27,Have,O
27,you,O
27,met,O
27,Robenson,B-PER
27,from,O
27,the,O
27,accounting,O
27,department,O
27,?,O
28,Both,O
28,Marielos,B-PER
28,and,O
28,Xinia,B-PER
28,have,O
28,extensive,O
28,experience,O
28,in,O
28,logistics,O
28,.,O
29,After,O
29,the,O
29,interview,O
29,",",O
29,we,O
29,offered,O
29,Vilma,B-PER
29,Beatriz,I-PER
29,the,O
29,position,O
29,.,O
30,The,O
30,woman,O
30,seen,O
30,talking,O
30,to,O
30,Jesula,B-PER
30,was,O
30,the,O
30,CEO,O
30,.,O
31,Wanda,B-PER
31,and,O
31,his,O
31,colleague,O
31,Migdalia,B-PER
31,handled,O
31,the,O
31,presentation,O
31,together,O
31,.,O
32,What,O
32,did,O
32,Angel,B-PER
32,say,O
32,about,O
32,the,O
32,proposal,O
32,yesterday,O
32,?,O
33,Can,O
33,you,O
33,schedule,O
33,a,O
33,meeting,O
33,with,O
33,Ricardo,B-PER
33,next,O
33,week,O
33,?,O
34,My,O
34,name,O
34,is,O
34,Brenda,B-PER
34,.,O
35,The,O
35,final,O
35,report,O
35,was,O
35,prepared,O
35,by,O
35,Yaneth,B-PER
35,.,O
36,It,O
36,was,O
36,Wayne,B-PER
36,who,O
36,finalized,O
36,the,O
36,agreement,O
36,.,O
37,What,O
37,did,O
37,Barahona,B-PER
37,say,O
37,about,O
37,the,O
37,proposal,O
37,yesterday,O
37,?,O
38,My,O
38,name,O
38,is,O
38,Vielka,B-PER
38,.,O
39,I,O
39,met,O
39,Mary,B-PER
39,and,O
39,Carlos,B-PER
39,at,O
39,the,O
39,workshop,O
39,in,O
39,Jakarta,O
39,.,O
40,The,O
40,final,O
40,report,O
40,was,O
40,prepared,O
40,by,O
40,Angella,B-PER
40,.,O
41,During,O
41,yesterday,O
41,',O
41,s,O
41,meeting,O
41,",",O
41,Jose,B-PER
41,brought,O
41,up,O
41,an,O
41,interesting,O
41,point,O
41,.,O
42,Do,O
42,you,O
42,remember,O
42,when,O
42,Ivette,B-PER
42,joined,O
42,the,O
42,company,O
42,?,O
43,Do,O
43,you,O
43,remember,O
43,when,O
43,Shanique,B-PER
43,joined,O
43,the,O
43,company,O
43,?,O
44,Have,O
44,you,O
44,met,O
44,Nolvia,B-PER
44,from,O
44,the,O
44,accounting,O
44,department,O
44,?,O
45,Isn,O
45,',O
45,t,O
45,Evens,B-PER
45,presenting,O
45,at,O
45,the,O
45,conference,O
45,?,O
46,I,O
46,met,O
46,Mike,B-PER
46,and,O
46,Ryan,B-PER
46,at,O
46,the,O
46,workshop,O
46,in,O
46,Jakarta,O
46,.,O
47,Jose,B-PER
47,A,I-PER
47,",",O
47,the,O
47,regional,O
47,director,O
47,",",O
47,approved,O
47,the,O
47,budget,O
47,.,O
48,The,O
48,report,O
48,",",O
48,as,O
48,mentioned,O
48,by,O
48,Vilma,B-PER
48,Beatriz,I-PER
48,(,O
48,our,O
48,new,O
48,data,O
48,analyst,O
48,),O
48,",",O
48,needs,O
48,a,O
48,revision,O
48,.,O
49,Do,O
49,you,O
49,remember,O
49,when,O
49,Lucas,B-PER
49,Mateo,I-PER
49,joined,O
49,the,O
49,company,O
49,?,O
50,My,O
50,name,O
50,is,O
50,Marielos,B-PER
50,.,O
51,My,O
51,name,O
51,is,O
51,Jose,B-PER
51,.,O
52,Have,O
52,you,O
52,met,O
52,Milagros,B-PER
52,from,O
52,the,O
52,accounting,O
52,department,O
52,?,O
53,Do,O
53,you,O
53,remember,O
53,when,O
53,Michelet,B-PER
53,joined,O
53,the,O
53,company,O
53,?,O
54,Everyone,O
54,was,O
54,waiting,O
54,for,O
54,Juan,B-PER
54,to,O
54,arrive,O
54,.,O
55,The,O
55,final,O
55,report,O
55,was,O
55,prepared,O
55,by,O
55,Lupita,B-PER
55,.,O
56,It,O
56,was,O
56,Guerrier,B-PER
56,who,O
56,finalized,O
56,the,O
56,agreement,O
56,.,O
57,Nobody,O
57,expected,O
57,Guerrier,B-PER
57,to,O
57,handle,O
57,the,O
57,crisis,O
57,so,O
57,well,O
57,.,O
58,Edenilson,B-PER
58,",",O
58,the,O
58,new,O
58,project,O
58,manager,O
58,",",O
58,presented,O
58,the,O
58,budget,O
58,.,O
59,Maritza,B-PER
59,said,O
59,that,O
59,Marvin,B-PER
59,might,O
59,be,O
59,late,O
59,due,O
59,to,O
59,traffic,O
59,.,O
60,It,O
60,was,O
60,Alejandro,B-PER
60,who,O
60,finalized,O
60,the,O
60,agreement,O
60,.,O
61,Isn,O
61,',O
61,t,O
61,Desir,B-PER
61,presenting,O
61,at,O
61,the,O
61,conference,O
61,?,O
62,Although,O
62,Luz,B-PER
62,was,O
62,nervous,O
62,",",O
62,she,O
62,performed,O
62,well,O
62,.,O
63,Carmen,B-PER
63,",",O
63,the,O
63,new,O
63,project,O
63,manager,O
63,",",O
63,presented,O
63,the,O
63,budget,O
63,.,O
64,Have,O
64,you,O
64,met,O
64,Jose,B-PER
64,A,I-PER
64,from,O
64,the,O
64,accounting,O
64,department,O
64,?,O
65,Can,O
65,you,O
65,schedule,O
65,a,O
65,meeting,O
65,with,O
65,Alex,B-PER
65,next,O
65,week,O
65,?,O
66,Linda,B-PER
66,",",O
66,the,O
66,new,O
66,project,O
66,manager,O
66,",",O
66,presented,O
66,the,O
66,budget,O
66,.,O
67,This,O
67,is,O
67,Sarahi,B-PER
67,",",O
67,our,O
67,new,O
67,team,O
67,member,O
67,.,O
68,It,O
68,was,O
68,Jomar,B-PER
68,who,O
68,finalized,O
68,the,O
68,agreement,O
68,.,O
69,The,O
69,final,O
69,report,O
69,was,O
69,prepared,O
69,by,O
69,Shanice,B-PER
69,.,O
70,During,O
70,yesterday,O
70,',O
70,s,O
70,meeting,O
70,",",O
70,Alexis,B-PER
70,brought,O
70,up,O
70,an,O
70,interesting,O
70,point,O
70,.,O
71,I,O
71,met,O
71,Juan,B-PER
71,and,O
71,Karla,B-PER
71,at,O
71,the,O
71,workshop,O
71,in,O
71,Jakarta,O
71,.,O
72,The,O
72,person,O
72,you,O
72,spoke,O
72,to,O
72,earlier,O
72,",",O
72,Guerrier,B-PER
72,",",O
72,will,O
72,send,O
72,the,O
72,report,O
72,.,O
73,After,O
73,the,O
73,interview,O
73,",",O
73,we,O
73,offered,O
73,Laura,B-PER
73,the,O
73,position,O
73,.,O
74,My,O
74,name,O
74,is,O
74,Maynor,B-PER
74,.,O
75,The,O
75,report,O
75,",",O
75,as,O
75,mentioned,O
75,by,O
75,Jose,B-PER
75,A,I-PER
75,(,O
75,our,O
75,new,O
75,data,O
75,analyst,O
75,),O
75,",",O
75,needs,O
75,a,O
75,revision,O
75,.,O
76,The,O
76,person,O
76,you,O
76,spoke,O
76,to,O
76,earlier,O
76,",",O
76,Minerva,B-PER
76,",",O
76,will,O
76,send,O
76,the,O
76,report,O
76,.,O
77,It,O
77,was,O
77,Wanda,B-PER
77,who,O
77,finalized,O
77,the,O
77,agreement,O
77,.,O
78,The,O
78,person,O
78,you,O
78,spoke,O
78,to,O
78,earlier,O
78,",",O
78,Cecilia,B-PER
78,Jeannette,I-PER
78,",",O
78,will,O
78,send,O
78,the,O
78,report,O
78,.,O
79,Do,O
79,you,O
79,remember,O
79,when,O
79,Milagros,B-PER
79,joined,O
79,the,O
79,company,O
79,?,O
80,The,O
80,report,O
80,",",O
80,as,O
80,mentioned,O
80,by,O
80,Juan,B-PER
80,(,O
80,our,O
80,new,O
80,data,O
80,analyst,O
80,),O
80,",",O
80,needs,O
80,a,O
80,revision,O
80,.,O
81,During,O
81,yesterday,O
81,',O
81,s,O
81,meeting,O
81,",",O
81,Francisca,B-PER
81,De,I-PER
81,brought,O
81,up,O
81,an,O
81,interesting,O
81,point,O
81,.,O
82,This,O
82,is,O
82,Mike,B-PER
82,",",O
82,our,O
82,new,O
82,team,O
82,member,O
82,.,O
83,It,O
83,was,O
83,Laura,B-PER
83,who,O
83,finalized,O
83,the,O
83,agreement,O
83,.,O
84,The,O
84,woman,O
84,seen,O
84,talking,O
84,to,O
84,Mackenson,B-PER
84,was,O
84,the,O
84,CEO,O
84,.,O
85,Although,O
85,Cecilia,B-PER
85,Jeannette,I-PER
85,was,O
85,nervous,O
85,",",O
85,she,O
85,performed,O
85,well,O
85,.,O
86,Have,O
86,you,O
86,met,O
86,Yvrose,B-PER
86,from,O
86,the,O
86,accounting,O
86,department,O
86,?,O
87,The,O
87,final,O
87,report,O
87,was,O
87,prepared,O
87,by,O
87,Linda,B-PER
87,.,O
88,This,O
88,is,O
88,Martha,B-PER
88,",",O
88,our,O
88,new,O
88,team,O
88,member,O
88,.,O
89,The,O
89,person,O
89,you,O
89,spoke,O
89,to,O
89,earlier,O
89,",",O
89,Hernández,B-PER
89,",",O
89,will,O
89,send,O
89,the,O
89,report,O
89,.,O
90,Do,O
90,you,O
90,remember,O
90,when,O
90,Bbsita,B-PER
90,joined,O
90,the,O
90,company,O
90,?,O
91,While,O
91,the,O
91,proposal,O
91,was,O
91,being,O
91,finalized,O
91,by,O
91,the,O
91,marketing,O
91,team,O
91,",",O
91,Naun,B-PER
91,",",O
91,who,O
91,had,O
91,just,O
91,returned,O
91,from,O
91,Singapore,O
91,",",O
91,raised,O
91,an,O
91,objection,O
91,.,O
92,Can,O
92,you,O
92,schedule,O
92,a,O
92,meeting,O
92,with,O
92,Sarahi,B-PER
92,next,O
92,week,O
92,?,O
93,After,O
93,the,O
93,interview,O
93,",",O
93,we,O
93,offered,O
93,Javier,B-PER
93,the,O
93,position,O
93,.,O
94,Isn,O
94,',O
94,t,O
94,Miguel,B-PER
94,presenting,O
94,at,O
94,the,O
94,conference,O
94,?,O
95,Alejandra,B-PER
95,and,O
95,his,O
95,colleague,O
95,Laura,B-PER
95,handled,O
95,the,O
95,presentation,O
95,together,O
95,.,O
96,During,O
96,yesterday,O
96,',O
96,s,O
96,meeting,O
96,",",O
96,Josue,B-PER
96,Elias,I-PER
96,brought,O
96,up,O
96,an,O
96,interesting,O
96,point,O
96,.,O
97,Katherine,B-PER
97,",",O
97,the,O
97,regional,O
97,director,O
97,",",O
97,approved,O
97,the,O
97,budget,O
97,.,O
98,This,O
98,is,O
98,Maribel,B-PER
98,",",O
98,our,O
98,new,O
98,team,O
98,member,O
98,.,O
99,Have,O
99,you,O
99,met,O
99,Ivette,B-PER
99,from,O
99,the,O
99,accounting,O
99,department,O
99,?,O
100,Do,O
100,you,O
100,remember,O
100,when,O
100,Carlos,B-PER
100,joined,O
100,the,O
100,company,O
100,?,O
101,The,O
101,report,O
101,",",O
101,as,O
101,mentioned,O
101,by,O
101,Abdiel,B-PER
101,(,O
101,our,O
101,new,O
101,data,O
101,analyst,O
101,),O
101,",",O
101,needs,O
101,a,O
101,revision,O
101,.,O
102,The,O
102,woman,O
102,seen,O
102,talking,O
102,to,O
102,Sarah,B-PER
102,was,O
102,the,O
102,CEO,O
102,.,O
103,The,O
103,person,O
103,you,O
103,spoke,O
103,to,O
103,earlier,O
103,",",O
103,Suyapa,B-PER
103,",",O
103,will,O
103,send,O
103,the,O
103,report,O
103,.,O
104,Everyone,O
104,was,O
104,waiting,O
104,for,O
104,Marielos,B-PER
104,to,O
104,arrive,O
104,.,O
105,Have,O
105,you,O
105,met,O
105,Damion,B-PER
105,from,O
105,the,O
105,accounting,O
105,department,O
105,?,O
106,Can,O
106,you,O
106,schedule,O
106,a,O
106,meeting,O
106,with,O
106,Mayra,B-PER
106,next,O
106,week,O
106,?,O
107,At,O
107,the,O
107,annual,O
107,summit,O
107,in,O
107,Kuala,O
107,Lumpur,O
107,",",O
107,Marisol,B-PER
107,gave,O
107,a,O
107,keynote,O
107,speech,O
107,.,O
108,This,O
108,is,O
108,Angella,B-PER
108,",",O
108,our,O
108,new,O
108,team,O
108,member,O
108,.,O
109,Barahona,B-PER
109,introduced,O
109,Maynor,B-PER
109,as,O
109,the,O
109,lead,O
109,consultant,O
109,on,O
109,the,O
109,project,O
109,.,O
110,Nobody,O
110,expected,O
110,Dwayne,B-PER
110,to,O
110,handle,O
110,the,O
110,crisis,O
110,so,O
110,well,O
110,.,O
111,Although,O
111,Jessica,B-PER
111,was,O
111,nervous,O
111,",",O
111,she,O
111,performed,O
111,well,O
111,.,O
112,Yaneth,B-PER
112,introduced,O
112,Ricardo,B-PER
112,as,O
112,the,O
112,lead,O
112,consultant,O
112,on,O
112,the,O
112,project,O
112,.,O
113,This,O
113,is,O
113,Mark,B-PER
113,",",O
113,our,O
113,new,O
113,team,O
113,member,O
113,.,O
114,I,O
114,met,O
114,Maribel,B-PER
114,and,O
114,Luz,B-PER
114,at,O
114,the,O
114,workshop,O
114,in,O
114,Jakarta,O
114,.,O
115,Although,O
115,Ronald,B-PER
115,was,O
115,nervous,O
115,",",O
115,she,O
115,performed,O
115,well,O
115,.,O
116,During,O
116,yesterday,O
116,',O
116,s,O
116,meeting,O
116,",",O
116,Sarah,B-PER
116,brought,O
116,up,O
116,an,O
116,interesting,O
116,point,O
116,.,O
117,Have,O
117,you,O
117,met,O
117,Jean,B-PER
117,Baptiste,I-PER
117,from,O
117,the,O
117,accounting,O
117,department,O
117,?,O
118,I,O
118,met,O
118,John,B-PER
118,and,O
118,Mark,B-PER
118,at,O
118,the,O
118,workshop,O
118,in,O
118,Jakarta,O
118,.,O
119,Although,O
119,Luis,B-PER
119,was,O
119,nervous,O
119,",",O
119,she,O
119,performed,O
119,well,O
119,.,O
120,The,O
120,person,O
120,you,O
120,spoke,O
120,to,O
120,earlier,O
120,",",O
120,Dwayne,B-PER
120,",",O
120,will,O
120,send,O
120,the,O
120,report,O
120,.,O
121,The,O
121,report,O
121,",",O
121,as,O
121,mentioned,O
121,by,O
121,Alejandra,B-PER
121,(,O
121,our,O
121,new,O
121,data,O
121,analyst,O
