sentence_id,token,tag
0,Do,O
0,you,O
0,remember,O
0,when,O
0,Khan,B-PER
0,joined,O
0,the,O
0,company,O
0,?,O
1,At,O
1,the,O
1,annual,O
1,summit,O
1,in,O
1,Kuala,O
1,Lumpur,O
1,",",O
1,Nino,B-PER
1,gave,O
1,a,O
1,keynote,O
1,speech,O
1,.,O
2,The,O
2,consultant,O
2,who,O
2,was,O
2,hired,O
2,byOm,O
2,recommended,O
2,a,O
2,new,O
2,tool,O
2,.,O
3,The,O
3,woman,O
3,seen,O
3,talking,O
3,to,O
3,Hüseyin,B-PER
3,was,O
3,the,O
3,CEO,O
3,.,O
4,Takashi,B-PER
4,said,O
4,that,O
4,Hiroyuki,B-PER
4,might,O
4,be,O
4,late,O
4,due,O
4,to,O
4,traffic,O
4,.,O
5,The,O
5,person,O
5,you,O
5,spoke,O
5,to,O
5,earlier,O
5,",",O
5,Eman,B-PER
5,",",O
5,will,O
5,send,O
5,the,O
5,report,O
5,.,O
6,Achmad,B-PER
6,",",O
6,the,O
6,new,O
6,project,O
6,manager,O
6,",",O
6,presented,O
6,the,O
6,budget,O
6,.,O
7,After,O
7,the,O
7,interview,O
7,",",O
7,we,O
7,offered,O
7,أم,B-PER
7,the,O
7,position,O
7,.,O
8,The,O
8,final,O
8,report,O
8,was,O
8,prepared,O
8,by,O
8,Nur,B-PER
8,.,O
9,Although,O
9,Wing,B-PER
9,was,O
9,nervous,O
9,",",O
9,she,O
9,performed,O
9,well,O
9,.,O
10,Руслан,B-PER
10,",",O
10,the,O
10,new,O
10,project,O
10,manager,O
10,",",O
10,presented,O
10,the,O
10,budget,O
10,.,O
11,What,O
11,did,O
11,Елена,B-PER
11,say,O
11,about,O
11,the,O
11,proposal,O
11,yesterday,O
11,?,O
12,Lam,B-PER
12,introduced,O
12,Ivy,B-PER
12,as,O
12,the,O
12,lead,O
12,consultant,O
12,on,O
12,the,O
12,project,O
12,.,O
13,The,O
13,person,O
13,you,O
13,spoke,O
13,to,O
13,earlier,O
13,",",O
13,ابراهيم,B-PER
13,",",O
13,will,O
13,send,O
13,the,O
13,report,O
13,.,O
14,Hussain,B-PER
14,and,O
14,his,O
14,colleague,O
14,Mohd,B-PER
14,handled,O
14,the,O
14,presentation,O
14,together,O
14,.,O
15,Do,O
15,you,O
15,remember,O
15,when,O
15,Yuki,B-PER
15,joined,O
15,the,O
15,company,O
15,?,O
16,Everyone,O
16,was,O
16,waiting,O
16,for,O
16,امير,B-PER
16,to,O
16,arrive,O
16,.,O
17,Can,O
17,you,O
17,schedule,O
17,a,O
17,meeting,O
17,with,O
17,정훈,B-PER
17,next,O
17,week,O
17,?,O
18,Do,O
18,you,O
18,remember,O
18,when,O
18,Maricel,B-PER
18,joined,O
18,the,O
18,company,O
18,?,O
19,The,O
19,woman,O
19,seen,O
19,talking,O
19,to,O
19,Wu,B-PER
19,was,O
19,the,O
19,CEO,O
19,.,O
20,ល,O
20,ី,O
20,said,O
20,that,O
20,Pov,B-PER
20,might,O
20,be,O
20,late,O
20,due,O
20,to,O
20,traffic,O
20,.,O
21,The,O
21,report,O
21,",",O
21,as,O
21,mentioned,O
21,by,O
21,Jayson,B-PER
21,(,O
21,our,O
21,new,O
21,data,O
21,analyst,O
21,),O
21,",",O
21,needs,O
21,a,O
21,revision,O
21,.,O
22,During,O
22,yesterday,O
22,',O
22,s,O
22,meeting,O
22,",",O
22,Сергей,B-PER
22,brought,O
22,up,O
22,an,O
22,interesting,O
22,point,O
22,.,O
23,I,O
23,met,O
23,Ali,B-PER
23,and,O
23,نور,B-PER
23,at,O
23,the,O
23,workshop,O
23,in,O
23,Jakarta,O
23,.,O
24,It,O
24,was,O
24,Alaa,B-PER
24,who,O
24,finalized,O
24,the,O
24,agreement,O
24,.,O
25,The,O
25,person,O
25,you,O
25,spoke,O
25,to,O
25,earlier,O
25,",",O
25,Noor,B-PER
25,",",O
25,will,O
25,send,O
25,the,O
25,report,O
25,.,O
26,I,O
26,met,O
26,Ahmad,B-PER
26,and,O
26,اميرة,B-PER
26,at,O
26,the,O
26,workshop,O
26,in,O
26,Jakarta,O
26,.,O
27,Can,O
