sentence_id,token,tag
0,Joaquim,B-PER
0,introduced,O
0,Catarina,B-PER
0,as,O
0,the,O
0,lead,O
0,consultant,O
0,on,O
0,the,O
0,project,O
0,.,O
1,Isn,O
1,',O
1,t,O
1,محمود,B-PER
1,presenting,O
1,at,O
1,the,O
1,conference,O
1,?,O
2,Have,O
2,you,O
2,met,O
2,Johannes,B-PER
2,from,O
2,the,O
2,accounting,O
2,department,O
2,?,O
3,This,O
3,is,O
3,Matheus,B-PER
3,",",O
3,our,O
3,new,O
3,team,O
3,member,O
3,.,O
4,The,O
4,person,O
4,you,O
4,spoke,O
4,to,O
4,earlier,O
4,",",O
4,Frieda,B-PER
4,",",O
4,will,O
4,send,O
4,the,O
4,report,O
4,.,O
5,During,O
5,yesterday,O
5,',O
5,s,O
5,meeting,O
5,",",O
5,Idil,B-PER
5,brought,O
5,up,O
5,an,O
5,interesting,O
5,point,O
5,.,O
6,Christelle,B-PER
6,introduced,O
6,Junior,B-PER
6,as,O
6,the,O
6,lead,O
6,consultant,O
6,on,O
6,the,O
6,project,O
6,.,O
7,Nduwimana,B-PER
7,and,O
7,his,O
7,colleague,O
7,Niyonkuru,B-PER
7,handled,O
7,the,O
7,presentation,O
7,together,O
7,.,O
8,Both,O
8,Amine,B-PER
8,and,O
8,Nina,B-PER
8,have,O
8,extensive,O
8,experience,O
8,in,O
8,logistics,O
8,.,O
9,Carine,B-PER
9,",",O
9,the,O
9,new,O
9,project,O
9,manager,O
9,",",O
9,presented,O
9,the,O
9,budget,O
9,.,O
10,Umar,B-PER
10,",",O
10,the,O
10,new,O
10,project,O
10,manager,O
10,",",O
10,presented,O
10,the,O
10,budget,O
10,.,O
11,This,O
11,is,O
11,Hakizimana,B-PER
11,",",O
11,our,O
11,new,O
11,team,O
11,member,O
11,.,O
12,The,O
12,woman,O
12,seen,O
12,talking,O
12,to,O
12,Om,B-PER
12,was,O
12,the,O
12,CEO,O
12,.,O
13,Ana,B-PER
13,and,O
13,his,O
13,colleague,O
13,Mona,B-PER
13,handled,O
13,the,O
13,presentation,O
13,together,O
13,.,O
14,Zalissa,B-PER
14,introduced,O
14,Sanata,B-PER
14,as,O
14,the,O
14,lead,O
14,consultant,O
14,on,O
14,the,O
14,project,O
14,.,O
15,Both,O
15,Bruno,B-PER
15,and,O
15,Cláudia,B-PER
15,have,O
15,extensive,O
15,experience,O
15,in,O
15,logistics,O
15,.,O
16,Junior,B-PER
16,",",O
16,the,O
16,new,O
16,project,O
16,manager,O
16,",",O
16,presented,O
16,the,O
16,budget,O
16,.,O
17,Favour,B-PER
17,said,O
17,that,O
17,John,B-PER
17,might,O
17,be,O
17,late,O
17,due,O
17,to,O
17,traffic,O
17,.,O
18,What,O
18,did,O
18,عبدالله,B-PER
18,say,O
18,about,O
18,the,O
18,proposal,O
18,yesterday,O
18,?,O
19,Can,O
19,you,O
19,schedule,O
19,a,O
19,meeting,O
19,with,O
19,Joaquim,B-PER
19,next,O
19,week,O
19,?,O
20,Can,O
20,you,O
20,schedule,O
20,a,O
20,meeting,O
20,with,O
20,Seid,B-PER
20,next,O
20,week,O
20,?,O
21,At,O
21,the,O
21,annual,O
21,summit,O
21,in,O
21,Kuala,O
21,Lumpur,O
21,",",O
21,احمد,B-PER
21,gave,O
21,a,O
21,keynote,O
21,speech,O
21,.,O
22,Do,O
22,you,O
22,remember,O
22,when,O
22,Hamza,B-PER
22,joined,O
22,the,O
22,company,O
22,?,O
23,Om,B-PER
23,",",O
23,the,O
23,regional,O
23,director,O
23,",",O
23,approved,O
23,the,O
23,budget,O
23,.,O
24,Have,O
24,you,O
24,met,O
24,Katlego,B-PER
24,from,O
24,the,O
24,accounting,O
24,department,O
24,?,O
25,At,O
25,the,O
25,annual,O
25,summit,O
25,in,O
25,Kuala,O
25,Lumpur,O
25,",",O
25,João,B-PER
25,gave,O
25,a,O
25,keynote,O
25,speech,O
25,.,O
26,Everyone,O
26,was,O
26,waiting,O
26,for,O
26,Amina,B-PER
26,to,O
26,arrive,O
26,.,O
27,The,O
27,person,O
27,you,O
27,spoke,O
27,to,O
27,earlier,O
27,",",O
27,Fantaye,B-PER
27,",",O
27,will,O
27,send,O
27,the,O
27,report,O
27,.,O
28,Although,O
28,Belyse,B-PER
28,was,O
28,nervous,O
28,",",O
28,she,O
28,performed,O
28,well,O
28,.,O
29,Kabo,B-PER
29,said,O
29,that,O
29,Tebogo,B-PER
29,might,O
29,be,O
29,late,O
29,due,O
29,to,O
29,traffic,O
29,.,O
30,Although,O
30,Grace,B-PER
30,was,O
30,nervous,O
30,",",O
30,she,O
30,performed,O
30,well,O
30,.,O
31,Both,O
31,Amal,B-PER
31,and,O
31,Fatima,B-PER
31,have,O
31,extensive,O
31,experience,O
31,in,O
31,logistics,O
31,.,O
32,Can,O
32,you,O
32,schedule,O
32,a,O
32,meeting,O
32,with,O
32,Sayouba,B-PER
32,next,O
32,week,O
32,?,O
33,Do,O
33,you,O
33,remember,O
33,when,O
33,Abdou,B-PER
33,joined,O
33,the,O
33,company,O
33,?,O
34,During,O
34,yesterday,O
34,',O
34,s,O
34,meeting,O
34,",",O
34,Bigirimana,B-PER
34,brought,O
34,up,O
34,an,O
34,interesting,O
34,point,O
34,.,O
35,Although,O
35,Ana,B-PER
35,was,O
35,nervous,O
35,",",O
35,she,O
35,performed,O
35,well,O
35,.,O
36,Everyone,O
36,was,O
36,waiting,O
36,for,O
36,Mahmoud,B-PER
36,to,O
36,arrive,O
36,.,O
37,During,O
37,yesterday,O
37,',O
37,s,O
37,meeting,O
37,",",O
37,Joyce,B-PER
37,brought,O
37,up,O
37,an,O
37,interesting,O
37,point,O
37,.,O
38,I,O
38,met,O
38,سحر,B-PER
38,and,O
38,ميمي,B-PER
38,at,O
38,the,O
38,workshop,O
38,in,O
38,Jakarta,O
38,.,O
39,Nobody,O
39,expected,O
39,Abena,B-PER
39,to,O
39,handle,O
39,the,O
39,crisis,O
39,so,O
39,well,O
39,.,O
40,Everyone,O
40,was,O
40,waiting,O
40,for,O
40,Tesfaye,B-PER
40,to,O
40,arrive,O
40,.,O
41,The,O
41,report,O
41,",",O
41,as,O
41,mentioned,O
41,by,O
41,Amina,B-PER
41,(,O
41,our,O
41,new,O
41,data,O
41,analyst,O
41,),O
41,",",O
41,needs,O
41,a,O
41,revision,O
41,.,O
42,The,O
42,consultant,O
42,who,O
42,was,O
42,hired,O
42,byMary,O
42,recommended,O
42,a,O
42,new,O
42,tool,O
42,.,O
43,This,O
43,is,O
43,Luzia,B-PER
43,",",O
43,our,O
43,new,O
43,team,O
43,member,O
43,.,O
44,Egide,B-PER
44,",",O
44,the,O
44,new,O
44,project,O
44,manager,O
44,",",O
44,presented,O
44,the,O
44,budget,O
44,.,O
45,This,O
45,is,O
45,Ahmed,B-PER
45,",",O
45,our,O
45,new,O
45,team,O
45,member,O
45,.,O
46,Catarina,B-PER
46,",",O
46,the,O
46,regional,O
46,director,O
46,",",O
46,approved,O
46,the,O
46,budget,O
46,.,O
47,Can,O
47,you,O
47,schedule,O
47,a,O
47,meeting,O
47,with,O
47,Rachid,B-PER
47,next,O
47,week,O
47,?,O
48,Have,O
48,you,O
48,met,O
48,Kofi,B-PER
48,from,O
48,the,O
48,accounting,O
48,department,O
48,?,O
49,It,O
49,was,O
49,Ahmed,B-PER
49,who,O
49,finalized,O
49,the,O
49,agreement,O
49,.,O
50,While,O
50,the,O
50,proposal,O
50,was,O
50,being,O
50,finalized,O
50,by,O
50,the,O
50,marketing,O
50,team,O
50,",",O
50,Paulo,B-PER
50,",",O
50,who,O
50,had,O
50,just,O
50,returned,O
50,from,O
50,Singapore,O
50,",",O
50,raised,O
50,an,O
50,objection,O
50,.,O
51,I,O
51,met,O
51,Paulus,B-PER
51,and,O
51,Ester,B-PER
51,at,O
51,the,O
51,workshop,O
51,in,O
51,Jakarta,O
51,.,O
52,Om,B-PER
52,said,O
52,that,O
52,محمود,B-PER
52,might,O
52,be,O
52,late,O
52,due,O
52,to,O
52,traffic,O
52,.,O
53,The,O
53,report,O
53,",",O
53,as,O
53,mentioned,O
53,by,O
53,Ahmed,B-PER
53,(,O
53,our,O
53,new,O
53,data,O
53,analyst,O
53,),O
53,",",O
53,needs,O
53,a,O
53,revision,O
53,.,O
54,Pedro,B-PER
54,and,O
54,his,O
54,colleague,O
54,Rui,B-PER
54,handled,O
54,the,O
54,presentation,O
54,together,O
54,.,O
55,Nahimana,B-PER
55,",",O
55,the,O
55,new,O
55,project,O
55,manager,O
55,",",O
55,presented,O
55,the,O
55,budget,O
55,.,O
56,Nobody,O
56,expected,O
56,Domingas,B-PER
56,to,O
56,handle,O
56,the,O
56,crisis,O
56,so,O
56,well,O
56,.,O
57,My,O
57,name,O
57,is,O
57,Favour,B-PER
57,.,O
58,At,O
58,the,O
58,annual,O
58,summit,O
58,in,O
58,Kuala,O
58,Lumpur,O
58,",",O
58,Samuel,B-PER
58,gave,O
58,a,O
58,keynote,O
58,speech,O
58,.,O
59,Ali,B-PER
59,",",O
59,the,O
59,regional,O
59,director,O
59,",",O
59,approved,O
59,the,O
59,budget,O
59,.,O
60,While,O
60,the,O
60,proposal,O
60,was,O
60,being,O
60,finalized,O
60,by,O
60,the,O
60,marketing,O
60,team,O
60,",",O
60,Sandrine,B-PER
60,",",O
60,who,O
60,had,O
60,just,O
60,returned,O
60,from,O
60,Singapore,O
60,",",O
60,raised,O
60,an,O
60,objection,O
60,.,O
61,Everyone,O
61,was,O
61,waiting,O
61,for,O
61,Samuel,B-PER
61,to,O
61,arrive,O
61,.,O
62,After,O
62,the,O
62,interview,O
62,",",O
62,we,O
62,offered,O
62,Hileni,B-PER
62,the,O
62,position,O
62,.,O
63,Isn,O
63,',O
63,t,O
63,John,B-PER
63,presenting,O
63,at,O
63,the,O
63,conference,O
63,?,O
64,The,O
64,woman,O
64,seen,O
64,talking,O
64,to,O
64,Gorata,B-PER
64,was,O
64,the,O
64,CEO,O
64,.,O
65,My,O
65,name,O
65,is,O
65,Idil,B-PER
65,.,O
66,While,O
66,the,O
66,proposal,O
66,was,O
66,being,O
66,finalized,O
66,by,O
66,the,O
66,marketing,O
66,team,O
66,",",O
66,ام,B-PER
66,",",O
66,who,O
66,had,O
66,just,O
66,returned,O
66,from,O
66,Singapore,O
66,",",O
66,raised,O
66,an,O
66,objection,O
66,.,O
67,After,O
67,the,O
67,interview,O
67,",",O
67,we,O
67,offered,O
67,Amina,B-PER
67,the,O
67,position,O
67,.,O
68,While,O
68,the,O
68,proposal,O
68,was,O
68,being,O
68,finalized,O
68,by,O
68,the,O
68,marketing,O
68,team,O
68,",",O
68,ام,B-PER
68,",",O
68,who,O
68,had,O
68,just,O
68,returned,O
68,from,O
68,Singapore,O
68,",",O
68,raised,O
68,an,O
68,objection,O
68,.,O
69,Mpho,B-PER
69,introduced,O
69,Thandeka,B-PER
69,as,O
69,the,O
69,lead,O
69,consultant,O
69,on,O
69,the,O
69,project,O
69,.,O
70,Although,O
70,Ali,B-PER
70,was,O
70,nervous,O
70,",",O
70,she,O
70,performed,O
70,well,O
70,.,O
71,The,O
71,report,O
71,",",O
71,as,O
71,mentioned,O
71,by,O
71,ام,B-PER
71,(,O
71,our,O
71,new,O
71,data,O
71,analyst,O
71,),O
71,",",O
71,needs,O
71,a,O
71,revision,O
71,.,O
72,During,O
72,yesterday,O
72,',O
72,s,O
72,meeting,O
72,",",O
72,Joana,B-PER
72,brought,O
72,up,O
72,an,O
72,interesting,O
72,point,O
72,.,O
73,اميرة,B-PER
73,and,O
73,his,O
73,colleague,O
73,ام,B-PER
73,handled,O
73,the,O
73,presentation,O
73,together,O
73,.,O
74,Have,O
74,you,O
74,met,O
74,Mohamed,B-PER
74,from,O
74,the,O
74,accounting,O
74,department,O
74,?,O
75,Everyone,O
75,was,O
75,waiting,O
75,for,O
75,Abdillahi,B-PER
75,to,O
75,arrive,O
75,.,O
76,Everyone,O
76,was,O
76,waiting,O
76,for,O
76,Kedir,B-PER
76,to,O
76,arrive,O
76,.,O
77,احمد,B-PER
77,",",O
77,the,O
77,new,O
77,project,O
77,manager,O
77,",",O
77,presented,O
77,the,O
77,budget,O
77,.,O
78,Isn,O
78,',O
78,t,O
78,Moses,B-PER
78,presenting,O
78,at,O
78,the,O
78,conference,O
78,?,O
79,During,O
79,yesterday,O
79,',O
79,s,O
79,meeting,O
79,",",O
79,Issaka,B-PER
79,brought,O
79,up,O
79,an,O
79,interesting,O
79,point,O
79,.,O
